-72.940 -13.595 
257 0.000 -0.19885 
761 10.000 0.06585 
963 10.000 0.98742 
331 9.948 -0.06178 
402 10.000 0.63235 
560 10.000 0.11904 
554 10.000 0.22125 
622 10.000 0.37508 
191 9.768 -0.00951 
360 10.000 0.28124 
653 0.000 -0.12164 
916 10.000 0.82569 
210 0.136 -0.01226 
606 0.000 -0.21360 
109 10.000 0.07548 
373 10.000 0.32779 
199 10.000 0.23382 
646 0.000 -0.39355 
592 0.087 0.01677 
676 10.000 0.16596 
563 2.609 0.06605 
242 0.000 -0.22820 
18 0.662 0.20859 
343 0.000 -0.06545 
9 1.505 0.07583 
601 0.088 -0.04256 
770 0.839 -0.05197 
5  0 1 2 3 4 
5  5 6 7 8 9 
5  10 11 12 13 14 
5  15 16 17 18 19 
5  20 21 22 23 24 
5  25 26 27 28 29 
5  30 31 32 33 34 
5  35 36 37 38 39 
5  40 41 42 43 44 
5  45 46 47 48 49 
5  50 51 52 53 54 
5  55 56 57 58 59 
5  60 61 62 63 64 
5  65 66 67 68 69 
5  70 71 72 73 74 
5  75 76 77 78 79 
5  80 81 82 83 84 
5  85 86 87 88 89 
5  90 91 92 93 94 
5  95 96 97 98 99 
83  3 11 4 13 7 7 8 0 9 11 24 11 59 13 86 7 88 18 89 0 93 13 94 10 108 8 119 2 129 9 137 13 152 1 157 13 160 11 179 1 183 4 186 17 191 3 203 12 209 1 217 19 220 3 224 15 225 0 233 3 235 2 236 8 241 1 268 18 275 2 293 8 294 11 308 4 310 5 321 5 322 11 324 7 328 5 340 1 347 14 353 3 361 3 362 5 363 18 378 2 386 6 437 13 476 4 505 18 507 17 511 8 515 17 528 11 530 17 534 3 546 8 605 10 616 5 620 6 651 0 658 14 669 3 671 8 687 14 709 13 730 11 733 7 747 12 750 7 757 16 758 17 760 13 769 6 770 0 775 4 779 14 782 6 793 12 
 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
-79.244 -14.003 
887 10.000 0.89015 
933 10.000 1.42097 
173 0.000 -0.23399 
447 0.881 -0.05205 
487 0.000 -0.14535 
795 10.000 0.08503 
639 10.000 0.11112 
965 10.000 0.66827 
155 10.000 0.10504 
292 0.000 -0.05281 
882 10.000 0.75977 
366 0.000 -0.27436 
899 10.000 1.28904 
747 0.124 0.04765 
475 0.000 -0.37952 
272 9.485 -0.04131 
946 10.000 1.40575 
122 0.000 -0.16703 
865 10.000 1.15344 
623 0.000 -0.06267 
718 0.000 -0.12193 
924 10.000 0.69432 
184 0.000 -0.24402 
282 0.000 -0.26232 
167 0.000 -0.24707 
202 0.260 0.07473 
626 0.000 -0.17138 
176 0.000 -0.20454 
126 0.000 -0.24218 
227 0.000 -0.16352 
13 0.000 -0.19539 
160 0.000 -0.14282 
119 0.000 -0.40032 
461 0.000 -0.34378 
648 0.128 0.04109 
915 10.000 1.20470 
100 0.000 -0.17364 
614 0.000 -0.16660 
70 0.000 -0.13475 
393 0.000 -0.17599 
496 0.000 -0.08216 
436 8.672 0.02735 
293 8.796 0.10155 
244 1.359 -0.04260 
912 10.000 0.66866 
566 0.000 -0.37517 
190 0.005 -0.00474 
34 2.036 -0.11525 
431 1.101 -0.01145 
813 10.000 1.14081 
753 7.752 -0.04461 
356 3.372 -0.02329 
997 10.000 1.31680 
35 10.000 0.17707 
523 2.209 0.18120 
200 10.000 0.18476 
661 10.000 0.04721 
699 10.000 0.41160 
327 0.331 -0.18203 
889 10.000 0.71920 
646 9.614 -0.03625 
341 10.000 0.06069 
50 10.000 0.54746 
766 10.000 0.28827 
803 10.000 0.94119 
698 10.000 0.25652 
681 10.000 0.17026 
904 10.000 0.46503 
312 10.000 0.37436 
752 9.941 -0.01907 
297 10.000 0.20454 
809 10.000 1.58863 
189 10.000 0.27199 
591 10.000 0.09520 
53 10.000 0.30425 
101 0.393 0.07714 
157 0.000 -0.02762 
136 9.803 0.12769 
589 10.000 0.04760 
58 0.234 -0.05919 
945 10.000 0.69601 
56 3.699 0.22086 
925 10.000 0.98583 
469 0.000 -0.30432 
256 10.000 0.37115 
587 0.000 -0.41043 
168 0.000 -0.14418 
584 10.000 0.19988 
476 8.667 -0.21038 
815 10.000 1.23453 
926 10.000 1.14610 
526 0.000 -0.17007 
582 0.000 -0.02455 
729 0.000 -0.32207 
225 6.945 -0.29197 
264 0.000 -0.15438 
633 10.000 0.02730 
538 0.000 -0.03745 
16 0.000 -0.09533 
931 10.000 1.05747 
5  0 1 2 3 4 
5  5 6 7 8 9 
5  10 11 12 13 14 
5  15 16 17 18 19 
5  20 21 22 23 24 
5  25 26 27 28 29 
5  30 31 32 33 34 
5  35 36 37 38 39 
5  40 41 42 43 44 
5  45 46 47 48 49 
5  50 51 52 53 54 
5  55 56 57 58 59 
5  60 61 62 63 64 
5  65 66 67 68 69 
5  70 71 72 73 74 
5  75 76 77 78 79 
5  80 81 82 83 84 
5  85 86 87 88 89 
5  90 91 92 93 94 
5  95 96 97 98 99 
